Recipe_ID,Cuisine,Recipe_Name,Description
1,american-recipes,sloppy-joes,"Sloppy joes are a simple, American staple the whole family can get stuck into. Add a dash of spicy chipotle or smoky barbecue sauce to the minced beef filling for some zing."
2,american-recipes,buffalo-chicken,These spicy wings are ideal party food for any celebration. The chicken is brined to make it extra juicy and the smoky sweetness of the sauce adds heat
3,american-recipes,triple-cheese-pepperoni-jalapeno-pizza,"Try making this triple cheese, pepperoni & jalapeño pizza, known for its fluffy, thick base with a cheesy crisp crust. Serving four, it's perfect for a Friday night in with the family"
4,american-recipes,smash-burger-pancakes,"Try our savoury pancake burgers, complete with gherkins, burger sauce and cheese slices. They're sure to go down a treat with the family on Shrove Tuesday"
5,american-recipes,snickerdoodles,"Is your dream cookie crisp on the outside and soft in the middle? If so, these cinnamon biscuits are for you. A classic American bake, they're popular for a reason"
6,american-recipes,corndogs,"Make American-inspired corndogs by coating frankfurter sausages in a cornmeal batter, then deep-frying and serving with ketchup and yellow mustard"
7,american-recipes,tahini-mississippi-mud-pie,"Try our take on this classic dessert from the States – it's ideal for making ahead, topped with sesame brittle for a stunning centrepiece pud"
8,american-recipes,texas-bbq-medley,"Once you've tried smoking and slow cooking your chicken, you'll be totally converted. The dry brine seasons the meat to the bone and keeps it succulent during cooking"
9,american-recipes,bbq-chicken-platter,"Roast or barbecue these BBQ chicken pieces then serve on a platter with onion rings, coleslaw and mac ‘n’ cheese for an all-American banquet"
10,american-recipes,truffled-mac-n-cheese,"Indulge in Tom Kerridge's ultimate truffle mac 'n' cheese, an amalgamation of all his favourite versions of this classic American dish"
11,american-recipes,smores-dip,"A sized-up, super chocolatey twist on the classic American campfire treat. This s'mores dip will be gone before you can say 'mini marshmallow'"
12,american-recipes,hot-gumbo-dip,"Serve this smoky, chunky veg gumbo dip with Tom Kerridge's Southern-fried prawns. It makes an excellent condiment for an American-themed platter"
13,american-recipes,fully-loaded-cajun-chicken-burgers,"Grilled Cajun-spiced chicken breasts are loaded with bacon, avocado, cheese and spinach, then served in a ciabatta bun... set to become a Friday night favourite"
14,american-recipes,tomato-avocado-corn-salad-migas-buttermilk-dressing,"Try this tasty American-style tomato, avocado and corn salad alongside roast chicken or barbecued meat. Buttermilk in the dressing adds a hint of sourness"
15,american-recipes,easy-pickled-onion-rings,"Feast on these lager-battered pickled onion rings as a snack, or serve as part of an American-themed spread, with BBQ chicken pieces and mac ‘n’ cheese"
16,american-recipes,sticky-bourbon-bbq-wings-blue-cheese-dip,The cool blue cheese & soured cream dip takes the edge off the heat in the sauce. Dip in the chicken wings or the celery and radishes – or do both!
17,american-recipes,southern-fried-prawns,"Experiment with Southern-style coating on prawns, instead of chicken. These moreish prawns have a crispy, spicy coating and taste great with a hot gumbo dip and lemon wedges"
18,american-recipes,spicy-pies-sweet-potato-mash,"This pie is loosely based on the flavours of an American sloppy joe, but we've topped it with mash as an alternative to the traditional cottage pie"
19,american-recipes,cheesesteak-hotdogs,"Take the humble hot dog to another level by using steak, complemented by melted cheese, fried green peppers and crispy onions. Easy to make and so good"
20,american-recipes,creamed-corn,"The best side dish in the States, this addictive, creamy, cheesy mix goes well with pretty much everything, but pairs particularly well with barbecue dishes"
21,american-recipes,american-pancakes,"Easy, American-style, fluffy pancakes are great for feeding a crowd at breakfast or brunch. Top with something sweet like fruit, jam or syrup, or rashers of crispy bacon."
22,american-recipes,baby-back-ribs-carolina-baste,"This American pork rib recipe is sure to satisfy at a barbecue - roast until tender, then finish with a sticky glaze for melt-in-the-mouth meat"
23,american-recipes,choc-chip-pecan-pie,An indulgent chocolate and pecan treat with buttery pastry and a gooey filling everybody can get stuck into
24,british-recipes,mini-pork-pies-piccalilli,"Hoel Levieil from London restaurant Frizzante shares this picnic-friendly pork pie recipe, which was voted our users’ favourite Jubilee recipe idea"
25,british-recipes,herby-toad-hole,"This family favourite marries meaty sausages with robust herbs and traditional, comforting Yorkshire pudding"
26,british-recipes,crispy-topped-cumberland-pie,"This crisp, potato-topped beef and vegetable pie is slow-cooked and inexpensive to make. It's a great family meal but smart enough for entertaining too."
27,british-recipes,sticky-toffee-pudding-traybake,"What's more inviting than a sticky toffee pudding? Our recipe delivers on expectations, with a lovely sticky sponge, true toffee flavour and a light sponge"
28,british-recipes,great-british-breakfast-bap,"Set yourself up for the day with a filling breakfast bap that features sausages, chips, bacon, beans and an egg to give you a big energy boost"
29,british-recipes,cherry-almond-tarts,These mini bakewell bites combine pastry and cake are designed for making in batches and cooking from frozen
30,british-recipes,classic-summer-pudding,"Celebrate gorgeous seasonal strawberries, raspberries, blackberries and redcurrants with this set basin brioche pud"
31,british-recipes,roast-beef-caramelised-onion-gravy,Rare roast topside is the ultimate centrepiece - make it extra special with yeast extract and sweet onion gravy
32,british-recipes,roast-lamb-spring-herb-crumbs,This iron-rich dish is ideal for a weekend with family and friends
33,british-recipes,no-fail-yorkies,"Perfect for mopping up gravy, these soft but crisp Yorkshire puddings will rise every time thanks to a great batter"
34,british-recipes,st-clements-pie,"A very British version of Key lime pie - an indulgent, creamy tart with tangy oranges and lemons"
35,british-recipes,beef-ale-parsnip-pudding,A traditional steak and ale pie with parsnips and suet pastry. Make the filling the night before then steam the pudding the following morning for Sunday lunch
36,british-recipes,fat-rascals,"Treat yourself to a Yorkshire classic with these fat rascals. Full of dried fruit and spices, they're a cheeky bit of fun to serve with a cup of tea"
37,british-recipes,scampi-tartare-sauce,"Crispy beer battered langoustine or prawn tails with a mayo-based dip of gherkins, capers and herbs"
38,british-recipes,easy-treacle-sponge,"A simple baked version of this classic childhood pudding, with a zesty treacle sauce forming an irresistible puddle at the bottom"
39,british-recipes,scotch-eggs,A hidden layer of bacon makes this traditional scotch egg recipe extra special
40,british-recipes,rhubarb-pear-hazelnut-crumbles,Individual fruity puddings with a twist - try mixing chopped nuts with your crumble topping for extra crunch
41,british-recipes,lemon-thyme-butter-basted-roast-chicken-gravy,Smoothing butter under the bird's skin helps to baste the chicken and herbs add a delicious flavour to the gravy
42,british-recipes,marzipan-eccles-tarts,This fun spin on the traditional Lancashire fruit cakes uses leftover marzipan to make irresistible individual pies
43,british-recipes,ultimate-makeover-steak-kidney-pie,The ultimate comfort dish gets a superhealthy makeover
44,british-recipes,british-pork-cassoulet,No-nonsense hearty meal that needs little or no side dishes - a great family meal - by Gary Rhodes
45,british-recipes,no-fuss-shepherds-pie,"A classic comfort food favourite, this shepherd's pie sees succulent lamb mince and veg topped with a fluffy layer of mashed potato"
46,british-recipes,split-pea-green-pea-smoked-ham-soup,"Make this stylish soup from John Torode, combining green peas and split peas with smoky pieces of shredded ham hock. Perfect for a starter or warming lunch"
47,caribbean-recipes,rum-punch,Shivi Ramoutar's recipe for this classic Caribbean cocktail combines sweet and sour flavours for a fruity weekend tipple
48,caribbean-recipes,jerk-turkey,"Try a Caribbean twist on a roast dinner with this jerk turkey. Serve with rice and peas, plus creamy coleslaw to balance the spiciness of the jerk marinade."
49,caribbean-recipes,caribbean-beef-patties,"Spice up beef mince with turmeric, thyme and hot pepper sauce before folding in shortcrust pastry for a tasty dinner or lunch"
50,caribbean-recipes,sticky-jerk-salmon-mango-slaw,"Serve chunky salmon fillets with a spicy Caribbean honey glaze on a homemade coleslaw with cabbage, red pepper, mango and coriander"
51,caribbean-recipes,jerk-chicken-rice-peas,"The Jamaican marinade has many versions, but John Torode likes his super spicy with a dash of soy. Serve with coconut basmati rice"
52,caribbean-recipes,jerk-sweet-potato-black-bean-curry,"Serve your vegetable curry Caribbean style, flavoured with thyme, jerk seasoning and red peppers – great with rice and peas"
53,caribbean-recipes,goat-curry,Cheap cuts like goat and mutton require slow-cooking in strong spices to tenderise - this one-pot is a taste sensation
54,caribbean-recipes,jamaican-saltfish-fritters,"Enjoy these flavourful saltfish fritters from experienced chef and sustainability champion Anthea Stephenson, from a recipe passed down by her mum Chichi"
55,caribbean-recipes,jerk-beefburger-pineapple-relish-chips,Flavour your mince with Jamaican spices and serve up with a contrasting tropical chutney and fries
56,caribbean-recipes,spiced-glazed-pineapple-cinnamon-fromage-frais,Try this tropical treat when you want to end a meal on a sweet note without too much effort or too many calories
