recipe_id,name,author,prep_time,cook_time,total_time,servings,url,prep_time_extracted,cook_time.1,total_time.1,servings.1,yield
1,25 Low-Effort Winter Dinners for Nights It's Almost Too Blah to Cook,Lauren Helmer,,,,,https://www.allrecipes.com/gallery/low-effort-winter-dinners/,,,,,
1,Mediterranean Salmon Baked in Foil,Brenda Venable,"Prep Time:
15 mins
Cook Time:
15 mins
Total Time:
30 mins
Servings:
4",,,,https://www.allrecipes.com/mediterranean-salmon-baked-in-foil-recipe-8768562,15 mins,15 mins,30 mins,4,
2,Allrecipes Magazine Recipes,Unknown,,,,,https://www.allrecipes.com/recipes/17235/everyday-cooking/allrecipes-magazine-recipes/,,,,,
3,Mediterranean Crispy Rice Chicken Bowl,Nicole McLaughlin,"Prep Time:
25 mins
Cook Time:
50 mins
Total Time:
1 hr 15 mins
Servings:
4",,,,https://www.allrecipes.com/mediterranean-crispy-rice-chicken-bowl-recipe-8778475,25 mins,50 mins,1 hr 15 mins,4,
4,Loaded Roasted Cauliflower,Nicole Russell,"Prep Time:
10 mins
Cook Time:
35 mins
Total Time:
45 mins
Servings:
4",,,,https://www.allrecipes.com/loaded-roasted-cauliflower-recipe-8768291,10 mins,35 mins,45 mins,4,
5,Ground Beef and Rice Skillet,Juliana Hale,"Prep Time:
15 mins
Cook Time:
30 mins
Stand Time:
5 mins
Total Time:
50 mins
Servings:
6",,,,https://www.allrecipes.com/ground-beef-and-rice-skillet-recipe-8767178,15 mins,30 mins,5 mins,50 mins,6
6,Substitutions,Unknown,,,,,https://www.allrecipes.com/kitchen-tips/all-about-ingredients/substitutions/,,,,,
7,Meatball Slider Bombs,Nicole McLaughlin,"Prep Time:
10 mins
Cook Time:
25 mins
Total Time:
35 mins
Servings:
24",,,,https://www.allrecipes.com/meatball-slider-bombs-recipe-8778150,10 mins,25 mins,35 mins,24,
8,Boursin Pork Chops,Brenda Venable,"Prep Time:
10 mins
Cook Time:
25 mins
Total Time:
35 mins
Servings:
4",,,,https://www.allrecipes.com/boursin-pork-chops-recipe-8763443,10 mins,25 mins,35 mins,4,
9,Apple Cider Chicken,John Mitzewich,"Prep Time:
10 mins
Cook Time:
20 mins
Total Time:
30 mins
Servings:
2",,,,https://www.allrecipes.com/apple-cider-chicken-recipe-8775646,10 mins,20 mins,30 mins,2,
10,Nicole's Cajun Chicken and Sausage Jambalaya,Nicole McLaughlin,"Prep Time:
20 mins
Cook Time:
1 hr 15 mins
Stand Time:
5 mins
Total Time:
1 hr 40 mins
Servings:
8 to 10",,,,https://www.allrecipes.com/nicole-s-cajun-chicken-and-sausage-jambalaya-recipe-8780968,20 mins,1 hr 15 mins,5 mins,1 hr 40 mins,8 to 10
11,Thai Peanut Butter Ramen,Pat Bernitt,"Prep Time:
10 mins
Cook Time:
5 mins
Total Time:
15 mins
Servings:
3",,,,https://www.allrecipes.com/thai-peanut-butter-ramen-recipe-8775397,10 mins,5 mins,15 mins,3,
12,Halibut en Papillote,TheDailyGourmet,"Prep Time:
15 mins
Cook Time:
25 mins
Rest Time:
5 mins
Total Time:
45 mins
Servings:
2",,,,https://www.allrecipes.com/halibut-en-papillote-recipe-8775088,15 mins,25 mins,5 mins,45 mins,2
13,Apple Cider Pork Tenderloin With Sweet Potatoes,Brenda Venable,"Prep Time:
15 mins
Cook Time:
30 mins
Total Time:
45 mins
Servings:
4",,,,https://www.allrecipes.com/apple-cider-pork-tenderloin-with-sweet-potatoes-recipe-8774666,15 mins,30 mins,45 mins,4,
14,Loaded Tater Tot Casserole,Juliana Hale,"Prep Time:
10 mins
Cook Time:
55 mins
Total Time:
1 hr 5 mins
Servings:
6",,,,https://www.allrecipes.com/loaded-tater-tot-casserole-recipe-8769287,10 mins,55 mins,1 hr 5 mins,6,
15,Baked Buffalo Bison Dip,John Mitzewich,"Prep Time:
15 mins
Cook Time:
20 mins
Rest Time:
10 mins
Total Time:
45 mins
Servings:
16",,,,https://www.allrecipes.com/baked-buffalo-bison-dip-recipe-8779525,15 mins,20 mins,10 mins,45 mins,16
16,Duchess Potato Casserole,Tricia Manzanero,"Prep Time:
35 mins
Cook Time:
50 mins
Stand Time:
10 mins
Total Time:
1 hr 35 mins
Servings:
8",,,,https://www.allrecipes.com/duchess-potato-casserole-recipe-8764989,35 mins,50 mins,10 mins,1 hr 35 mins,8
17,15 Coffee Cake Recipes to Try if You Love Streusel,Bailey Fink,,,,,https://www.allrecipes.com/streusel-coffee-cake-recipes-8736182,,,,,
18,Tomato Soup and Grilled Cheese Casserole,"Kathryn Hendrix, RDN, LD","Prep Time:
20 mins
Cook Time:
40 mins
Total Time:
1 hr
Servings:
10",,,,https://www.allrecipes.com/tomato-soup-and-grilled-cheese-casserole-recipe-8769359,20 mins,40 mins,1 hr,10,
19,Nutella Swirl Cheesecake Bars,Kim,"Prep Time:
20 mins
Cook Time:
45 mins
Chill Time:
4 hrs
Cool Time:
20 mins
Total Time:
5 hrs 25 mins
Servings:
16
Yield:
16 bars",,,,https://www.allrecipes.com/nutella-swirl-cheesecake-bars-recipe-8779386,20 mins,45 mins,4 hrs,20 mins,5 hrs 25 mins
20,Nordstrom's Tomato Basil Soup,Brenda Venable,"Prep Time:
15 mins
Cook Time:
45 mins
Total Time:
1 hr
Servings:
8",,,,https://www.allrecipes.com/nordstrom-s-tomato-basil-soup-recipe-8769886,15 mins,45 mins,1 hr,8,
21,Easy Parmesan Garlic Ramen,Nicole Russell,"Prep Time:
5 mins
Cook Time:
10 mins
Total Time:
15 mins
Servings:
3",,,,https://www.allrecipes.com/easy-parmesan-garlic-ramen-recipe-8770557,5 mins,10 mins,15 mins,3,
22,Parmesan-Crusted Smashed Cauliflower,Melissa Gray,"Prep Time:
15 mins
Cook Time:
30 mins
Total Time:
45 mins
Servings:
6 (serving size: about 1 cup)",,,,https://www.allrecipes.com/parmesan-crusted-smashed-cauliflower-recipe-8762093,15 mins,30 mins,45 mins,6 (serving size: about 1 cup),
