Recipe_ID,Category,Recipe_Name,Preparation_Time,Cooking_Time,Image URL,Description,kcal,fat,saturates,carbs,sugars,fibre,protein,salt
1,american-recipes,sloppy-joes,5 mins,30 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/diner-sloppy-joes-6161e37.jpg?quality=90&resize=440,400","Sloppy joes are a simple, American staple the whole family can get stuck into. Add a dash of spicy chipotle or smoky barbecue sauce to the minced beef filling for some zing.",463,16,5,13,13,5,25,1.65
2,american-recipes,buffalo-chicken,20 mins,1 hr and 5 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/buffalo-wings-3e475b7.jpg?quality=90&resize=440,400",These spicy wings are ideal party food for any celebration. The chicken is brined to make it extra juicy and the smoky sweetness of the sauce adds heat,520,35,15,11,11,3,39,7.4
3,american-recipes,triple-cheese-pepperoni-jalapeno-pizza,20 mins,25 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2024/12/Triple-cheese-pepperoni-and-jalapeno-pizza-ba56302.jpg?quality=90&resize=556,505","Try making this triple cheese, pepperoni & jalapeño pizza, known for its fluffy, thick base with a cheesy crisp crust. Serving four, it's perfect for a Friday night in with the family",586,23,13,63,6,4,29,2.1
4,american-recipes,smash-burger-pancakes,10 mins,20 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2023/12/Smash-burger-pancakes-55ff4d5.jpg?quality=90&resize=556,505","Try our savoury pancake burgers, complete with gherkins, burger sauce and cheese slices. They're sure to go down a treat with the family on Shrove Tuesday",685,38,15,47,17,2,39,1.9
5,american-recipes,snickerdoodles,20 mins,12 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2021/03/Snickerdoodles-b025ddd.jpg?quality=90&resize=556,505","Is your dream cookie crisp on the outside and soft in the middle? If so, these cinnamon biscuits are for you. A classic American bake, they're popular for a reason",205,10,6,28,15,1,2,0.2
6,american-recipes,corndogs,20 mins,15 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2022/08/Corndogs-7832ef6.jpg?quality=90&resize=556,505","Make American-inspired corndogs by coating frankfurter sausages in a cornmeal batter, then deep-frying and serving with ketchup and yellow mustard",349,24,6,21,2,1,11,1.71
7,american-recipes,tahini-mississippi-mud-pie,30 mins,20 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2024/02/Tahini-Mississippi-mud-pie-a501eda.jpg?quality=90&resize=556,505","Try our take on this classic dessert from the States – it's ideal for making ahead, topped with sesame brittle for a stunning centrepiece pud",682,51,28,46,29,44,8,0.5
8,american-recipes,texas-bbq-medley,20 mins,6 hrs and 40 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/texas-bbq-medley--c0c67bc.jpg?quality=90&resize=440,400","Once you've tried smoking and slow cooking your chicken, you'll be totally converted. The dry brine seasons the meat to the bone and keeps it succulent during cooking",990,71,26,23,23,1,64,11.5
9,american-recipes,bbq-chicken-platter,40 mins,1 hr and 10 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/bbq-chicken-platter-26e7757.jpg?quality=90&resize=440,400","Roast or barbecue these BBQ chicken pieces then serve on a platter with onion rings, coleslaw and mac ‘n’ cheese for an all-American banquet",325,16,4,12,12,2,32,2
10,american-recipes,truffled-mac-n-cheese,30 mins,40 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/truffled-mac-n-cheese-3fe395a.jpg?quality=90&resize=440,400","Indulge in Tom Kerridge's ultimate truffle mac 'n' cheese, an amalgamation of all his favourite versions of this classic American dish",559,24,14,60,8,5,24,1.6
11,american-recipes,smores-dip,10 mins,6 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/smores-dip-3f0676b.jpg?quality=90&resize=440,400","A sized-up, super chocolatey twist on the classic American campfire treat. This s'mores dip will be gone before you can say 'mini marshmallow'",349,11,6,58,44,2,5,0.3
12,american-recipes,hot-gumbo-dip,20 mins,30 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/hot-gumbo-dip-4846773.jpg?quality=90&resize=440,400","Serve this smoky, chunky veg gumbo dip with Tom Kerridge's Southern-fried prawns. It makes an excellent condiment for an American-themed platter",70,4,0,6,5,2,2,0.1
13,american-recipes,fully-loaded-cajun-chicken-burgers,20 mins,15 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-17429_11-3d5f2e0.jpg?quality=90&resize=440,400","Grilled Cajun-spiced chicken breasts are loaded with bacon, avocado, cheese and spinach, then served in a ciabatta bun... set to become a Friday night favourite",721,36,10,51,2,5,51,2.84
14,american-recipes,tomato-avocado-corn-salad-migas-buttermilk-dressing,20 mins,35 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/tomato-avocado-corn-salad-with-migas-buttermilk-dressing-bc4d81e.jpg?quality=90&resize=440,400","Try this tasty American-style tomato, avocado and corn salad alongside roast chicken or barbecued meat. Buttermilk in the dressing adds a hint of sourness",416,33,5,20,6,6,7,0
15,american-recipes,easy-pickled-onion-rings,15 mins,10 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/onion-rings-a23a5c5.jpg?quality=90&resize=440,400","Feast on these lager-battered pickled onion rings as a snack, or serve as part of an American-themed spread, with BBQ chicken pieces and mac ‘n’ cheese",316,10,1,47,6,3,5,1.3
16,american-recipes,sticky-bourbon-bbq-wings-blue-cheese-dip,35 mins,45 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/sticky-bourbon-bbq-wings-with-blue-cheese-dip-f4545dd.jpg?quality=90&resize=440,400",The cool blue cheese & soured cream dip takes the edge off the heat in the sauce. Dip in the chicken wings or the celery and radishes – or do both!,213,13,5,9,9,1,10,0.6
17,american-recipes,southern-fried-prawns,10 mins,10 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/southern-fried-prawns-5d10921.jpg?quality=90&resize=440,400","Experiment with Southern-style coating on prawns, instead of chicken. These moreish prawns have a crispy, spicy coating and taste great with a hot gumbo dip and lemon wedges",243,11,1,24,2,1,12,1
18,american-recipes,spicy-pies-sweet-potato-mash,20 mins,40 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/spicy-pies-75955b0.jpg?quality=90&resize=440,400","This pie is loosely based on the flavours of an American sloppy joe, but we've topped it with mash as an alternative to the traditional cottage pie",452,11,4,52,23,13,29,0.8
19,american-recipes,cheesesteak-hotdogs,5 mins,15 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/hot_dogs_steak-9dd6012.jpg?quality=90&resize=440,400","Take the humble hot dog to another level by using steak, complemented by melted cheese, fried green peppers and crispy onions. Easy to make and so good",481,24,9,37,7,3,28,1.3
20,american-recipes,creamed-corn,10 mins,20 mins,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/creamed-corn-4e1fb02.jpg?quality=90&resize=440,400","The best side dish in the States, this addictive, creamy, cheesy mix goes well with pretty much everything, but pairs particularly well with barbecue dishes",344,28,16,13,6,6,8,0.6
